mediaBT,mediaRX,varBT,varRX,medialat,varlat,Open,Close,mediadift,varDifT,Attack
0,0,0,0,5469.9175,0.00027225,10,2,5.128898553,85.0209201,0
0,0,0,0,0,0,1,0,26.03790388,0,0
0,0,0,0,5005.114,0.000256,1,2,12.01603441,98.30893856,0
8,27.5,16,506.25,91783.516,229762.0422,0,2,29.44158848,865.3089748,0
3,4,0,0,92010.971,0,0,1,0.628534405,0,0
1,0,0,0,115470.41,0,0,1,19.48390655,0,0
0,0,0,0,0,0,0,1,9.000262311,0,0
1,78,0,0,146715.67,0,0,2,13.00023643,169.0045716,0
1.5,0.5,0.25,0.25,170750.1095,7.28730025,0,2,12.00040889,144.0020804,0
1,3,0,0,201928.339,0,0,1,31.99997931,0,0
0,0,0,0,0,0,1,0,14.44224416,0,0
0,0,0,0,3.48175,4.397945688,8,3,0.132392037,0.065040115,0
0,1.5,0,2.25,99.594,9809.119681,2,1,0.115940558,0.005618681,0
0,0,0,0,17.945,216.3841,7,2,0.094315385,0.007333726,0
0,0,0,0,355.269,0,1,0,2.022194157,0,0
0,6,0,0,116.0805,22.29341892,12,6,0.072060029,0.036395829,0
0,2,0,0,125.458,0,4,1,0.118738665,0.003286083,0
0,2,0,0,185.829,0,3,1,0.13834161,0.017979222,0
0,3.25,0,10.9375,172.7435,39715.60783,15,8,0.061340917,0.008908555,0
1,0,0,0,539.61,0,4,1,41.21182563,6110.12139,0
0,0,0,0,5184.642,0.0004,0,2,3.193312577,3.964467275,0
0,0,0,0,0,0,1,0,4.246960811,0,0
0,3,0,0,280.718,0,4,1,0.303306808,0.012143056,0
0,3,0,0,283.035,5.635818,9,3,0.039697094,0.002246595,0
0,5,0,0,286.7895,1.25435225,2,4,0.041455396,0.002544895,0
0,3,0,0,289.923,0,8,1,0.217718385,0.179308368,0
0,5,0,0,281.536,0,1,1,0.244612844,0.001262646,0
0,3,0,0,280.999,0,1,1,0.499318523,0.048171676,0
0,3,0,0,281.615,0,2,1,0.54335379,0.064474747,0
20,1856,0,0,3871.168,0,0,1,0.333524669,0,0
22,2191,0,0,6602.42,0,0,1,2.733595874,0,0
35,3268,0,0,14929.084,0,1,1,4.084712346,15.54132525,0
0,3,0,0,280.983,0,0,1,0.137536864,0,0
0,2,0,0,279.4226667,5.311439556,10,6,0.634791711,1.765178381,0
0,0,0,0,0,0,1,0,0.332015613,0,0
0,2.333333333,0,4.222222222,514.1086667,136295.9601,6,3,0.180447878,0.031366329,0
0,12,0,0,4315.221,0,2,1,0.896730354,0.022569915,0
8,10,0,0,51690.058,0,0,1,1.870796557,0,0
0,3.363636364,0,2.231404959,291.915,413.6526622,17,11,0.052623276,0.035221434,0
0,0,0,0,0,0,1,0,0.325043047,0,0
0,0,0,0,10027.396,0,2,1,0.876477815,1.519659367,0
0,6,0,0,10543.46,0,1,1,1.27462282,0.160592599,0
1,7,0,0.5,7634.69275,4051.047821,2,4,0.326803171,0.42848027,0
0,2,0,0,280.233,0,1,1,0.434023802,0.023959863,0
0,2,0,0,1066.589,0,3,1,0.880682676,0.953125666,0
0,6,0,0,5030.571,0,0,1,0.523034911,0,0
0,2,0,0,1725.914,0,0,1,0.26357808,0,0
1,2,0,0,12975.061,0,8,1,0.856481419,0.94954005,0
0,23,0,0,6781.876,0,2,1,20.70844638,842.0000836,0
0,0,0,0,28952.37,0,0,1,0.931098911,0,0
2.5,2,2.25,4,72254.5415,128282160.8,0,2,1.282836318,1.637048454,0
0,0,0,0,5006.039,0.0004,0,2,3.220840713,3.186275184,0
0,3,0,0,355.841,0,3,1,1.766823985,2.098255063,0
0,4,0,0,352.033,4.474608667,4,3,0.106107513,0.027789844,0
0,0,0,0,0,0,1,0,0.917958056,0,0
0,4,0,0,347.26,0,6,1,0.049482854,0.002075835,0
0,3,0,0,947.3484,51815.9703,3,6,0.119509581,0.035008717,0
0,3,0,0,1158.209,0,1,0,0.577252223,0,0
0.5,4.5,0.25,6.25,10471.777,103848511.8,1,2,0.37997941,0.068224139,0
2,4,0,0,115310.988,0,5,1,3.313351233,11.12825012,0
0.5,14.5,0.25,210.25,115832.9895,117907.4208,0,2,3.000546726,9.001350633,0
0,2,0,0,116130.88,0,0,1,1.000003838,0,0
0,0,0,0,0,0,1,0,4.007423018,0,0
0,1,0,0,123931.809,0,1,1,1.997184883,0.483085416,0
1,536,0,0,40759.903,0,0,1,6.125674272,0,0
0,2,0,0,65101.441,0,0,1,2.377297968,0,0
0,1,0,0,89387.51,0,0,1,1.945508328,0,0
0,0,0,0,116516.621,5386.537315,0,3,0.184257758,0.067872015,0
1,3,0,0,122438.712,0,0,1,3.000946788,0,0
15,1296,0,0,131630.418,0,2,1,4.000279485,30.68496852,0
0,0,0,0,115461.469,0,0,1,7.000569639,0,0
1,1.5,0,2.25,170447.792,4914.290404,0,2,3.500504411,12.2520242,0
1,7,0,9,170616.653,48178.93301,0,3,0.333648666,0.222187689,0
1.5,29.5,0.25,650.25,172675.208,2903104.822,0,2,1.500313517,2.249685202,0
4,175,0,0,174924.215,0,0,1,2.000247573,0,0
1,140.3333333,0,20788.22222,170588.7373,32342.03435,0,3,0.333680366,0.222259513,0
1.666666667,164.3333333,0.222222222,50138.88889,172333.1993,1231191.51,0,2,0.499896426,0.24961624,0
1,5,0,0,171583.641,0,0,1,7.000699393,0,0
3,12.33333333,4.666666667,139.5555556,159900.6913,266643551.7,0,3,3.000279495,17.54619236,0
1,9,0,0,174022.302,0,0,1,3.000420165,0,0
1,30,0,0,197432.98,0,0,1,1.000451214,0,0
2,645,1,375769,193595.1755,80049175.83,0,2,4.50069076,20.25082559,0
0.75,1.5,0.1875,0.75,142432.9563,225155874.5,0,4,0.49990695,0.749647768,0
11,1688,0,0,188881.298,0,0,1,1.000695457,0,0
71,1080,3600,1144900,201459.1115,103881175.3,0,2,1.000611348,1.000270509,0
0,0,0,0,115419.242,0,0,1,8.999791429,0,0
0,0,0,0,0.0215,0.00011025,0,2,7.85E-05,6.17E-09,0
0,0,0,0,0,0,0,1,21.50457282,0,0
0,0,0,0,0.022,6.40E-05,0,4,2.124973368,9.79E+00,0
0.25,8.375,0.1875,399.484375,92.737375,15611.56753,12,10,0.499363597,2.28E+00,0
0,0,0,0,7.848705882,148.1368313,4,5,0.031901238,2.06E-03,0
0,0,0,0,73.1355,1.22E-05,2,2,10.50765838,321.8664617,0
1.5,13.5,2.25,182.25,3464.145,11998790.26,2,1,0.565977164,0.506110024,0
0,0,0,0,25.47,71.03422743,15,7,0.026937815,4.66E-03,0
0,0,0,0,4.4347,76.09852241,3,5,0.254603333,3.20E-01,0
0,2,0,2,1851.738,1712431.051,2,2,0.127310349,2.26E-02,0
0,0,0,0,1.516,3.252353,3,3,0.012220295,4.80E-04,0
0,0,0,0,20.18533333,183.9311896,1,0,1.118513212,0.00E+00,0
0,0,0,0,0,0,1,0,1.469690521,0.00E+00,0
1,22.6,4,1536.64,7375.9768,8726796.752,0,5,0.091869995,2.61E-02,0
0,0,0,0,0,0,1,0,3.806098728,0.00E+00,0
0.5,27.5,0.25,756.25,105.7545,6764.98025,7,2,0.284566676,2.43E-01,0
0,3,0,0,5462.364,0,2,1,1.813329966,5.79E+00,0
0,0,0,0,9.808,0,1,1,0.185842491,3.14E-02,0
0,0,0,0,2.184,0,5,1,0.509430286,0.798299891,0
0,0,0,0,3.31825,15.04334769,6,1,0.205559707,6.08E-02,0
0,0,0,0,0.021,0.0001,13,2,0.637449759,8.76E-01,0
0,5,0,0,71.918,0,1,1,0.208924264,1.91E-02,0
0.5,5,0.25,25,51.2905,2435.274452,7,2,0.470072807,1.67E+00,0
0,3.6,0,8.64,38.9149,631.9282297,4,9,0.013722185,7.68E-04,0
0,6,0,0,27.391,0,1,0,3.947635526,0.00E+00,0
0,0,0,0,42.45,0,1,1,2.09285117,4.21E+00,0
0,4,0,0,196.1442,0.25103016,8,5,0.045605216,7.46E-03,0
0,4,0,0,162.2193333,1.611662889,1,3,0.040640412,0.001695921,0
0,4,0,0,160,0,1,1,0.76160955,3.63E-01,0
0,4,0,0,49.624,0,9,2,1.201238194,7.80E+00,0
0,0,0,0,0.0215,2.02E-05,0,2,0.723612824,5.23E-01,0
11,5,0,0,64720.6,0,0,1,2.243109967,0.00E+00,0
4,2,0,0,66833.329,0,0,1,2.027448202,0.00E+00,0
0,3,0,0,217.235,0,2,1,2.317153793,2.805161994,0
0,0,0,0,0.34,0,4,0,3.38E-01,5.15E-02,0
2,3,0,0,66736.519,0,2,1,1.42236246,2.507641316,0
0,4,0,0,66.395,0,1,1,2.829968552,7.638368478,0
0,4,0,0,68.239,0,6,1,0.725422032,0.675857936,0
0,3,0,0,144.4718,1171.107999,10,5,0.096504178,0.079839467,0
0,0,0,0,0.023,6.40E-05,0,2,0.488893379,0.23866054,0
0,0,0,0,5117.886,0,0,1,4.022660799,0,0
0,4.5,0,0.25,40089.3695,1079.48388,0,2,2.302892734,4.044882268,0
3,149,0,0,45930.87,0,1,1,2.628557739,1.19125447,0
0,3,0,0,47.147,0,1,1,2.738610532,7.248806376,0
1,0,0,0,3.627,0,1,1,1.959623489,3.825911351,0
0,0,0,0,0.695,0,3,0,0.445027943,0.144719171,0
1,3,0,0,115913.596,0,0,1,1.744871755,0,0
1,4,0,0,116792.755,0,0,1,1.000387196,0,0
0,0,0,0,280.347,0,1,1,1.088839479,0.655194019,0
0,0,0,0,0.023,4.90E-05,0,2,0.232420944,0.053490224,0
0,6,0,0,10163.772,0,0,1,4.77506499,0,0
0,4,0,0,136.779,0,4,1,0.460876151,0.400536374,0
0,5,0,0,51.167,0,2,1,0.074681642,0.005326402,0
0,2.666666667,0,0.222222222,160.637,11118.61829,8,3,0.074105224,0.008786654,0
0,1,0,2,42.27866667,18.62566156,4,3,0.086619441,0.012472817,0
1,95,0,0,115752.471,0,1,1,5.210095013,24.27427842,0
0.142857143,2.571428571,0.12244898,1.102040816,73.61514286,849.9558604,12,7,0.05614707,0.021743923,0
0,1.5,0,0.75,80.61525,112.6957882,6,4,0.055927241,0.019191661,0
0,1.75,0,1.1875,58.90275,391.4973547,3,4,0.060342257,0.002884187,0
0,2,0,0,66.299,0,1,1,0.302270591,0.05580979,0
2,75.33333333,2,4128.222222,80108.50667,3208107342,2,3,0.195127976,0.063782482,0
1,68.5,1,4290.25,59797.663,3566999177,2,2,0.060480545,0.004699998,0
0,3,0,0,69.541,0,3,1,0.170130898,0.056823586,0
7,974.5,49,939930.25,60286.759,3628331844,1,2,0.105870219,0.002795785,0
3,172,0,0,115770.731,0,0,1,1.000415298,0,0
7,960,0,0,117770.018,0,0,1,2.000763899,0,0
0,0,0,0,0.022,0.0001,1,2,0.99627982,1.204761508,0
1,26,0,0,40495.862,0,0,1,17.74444822,0,0
0,0,0,0,116078.744,0,0,1,4.732296604,0,0
2.5,44.5,2.25,1640.25,173217.782,8781958.853,0,2,0.500608773,0.250070362,0
8.5,4,2.25,4,160864.6905,31838545.42,0,2,0.259586002,0.066738891,0
0,0,0,0,0.448,0,1,0,0.615992646,0,0
0,0,0,0,0,0,1,0,0.583859143,0,0
0,0,0,0,0.022,8.10E-05,7,2,0.53419312,0.485459055,0
0.5,290,0.25,83521,166870.1655,14594604.22,2,4,1.091604388,1.329222866,0
1.666666667,30.33333333,0.222222222,422.2222222,175247.3033,7519802.024,1,1,0.539185249,0.211616886,0
0,0,0,0,0,0,1,0,4.807751269,0,0
1,1,0,0,170735.714,0,0,1,3.195166113,0,0
6.5,1055.5,6.25,845480.25,182924.526,415299.047,0,2,3.500951278,12.25108255,0
0,1,0,1,90428.933,640727668.1,0,2,0.999927452,0.698071625,0
0,0,0,0,0.0235,5.63E-05,0,2,2.686085769,7.2117583,0
1,3,0,0,131871.174,0,0,1,5.629616648,0,0
7.5,547.5,12.25,92720.25,182724.2605,4941553.385,0,2,4.000779243,16.00330099,0
1,7,0,0,170098.46,0,0,1,4.000274446,0,0
2,6,0,0,221725.405,0,0,1,4.000720347,0,0
5,9981,0,0,176388.148,0,0,1,1.000463646,0,0
0,0,0,0,0.022,0.0001,0,2,3.685908061,13.58431285,0
4.166666667,684.3333333,10.13888889,411056.5556,66156.56617,1428439.482,0,6,0.508954173,1.259769605,0
0.25,16,0.1875,618.5,139239.456,576427442.4,0,4,0.14389318,0.061979897,0
1,26,0,0,174457.249,0,0,1,3.000478475,0,0
4,120,4,13225,175766.928,100844.3536,0,2,1.000476572,1.00030041,0
0.666666667,22.66666667,0.222222222,896.2222222,178304.069,184489504.9,0,3,2.333590749,10.88930586,0
2,7,0,0,231937.461,0,0,1,2.000374649,0,0
0,0,0,0,0.021,3.60E-05,0,2,6.186306146,38.26641891,0
7,4,0,0,170490.736,0,0,1,0.628061293,0,0
48,1280.5,529,61752.25,193453.043,6335017.167,0,2,4.500560447,20.25143807,0
1,1,0,0,170443.674,0,0,1,5.000085353,0,0
13,27,0,0,173374.97,0,0,1,2.000878863,0,0
2,69,0,0,116037.487,0,0,1,4.000522641,0,0
1,4,0,0,117533.103,0,0,1,3.000734301,0,0
0,3,0,0,69.291,0,2,1,0.342415038,0.081308711,0
2.5,6.5,6.25,42.25,137924.4315,19009248286,1,2,0.217985992,0.025058693,0
1,55,0,0,170713.202,0,1,1,1.000114068,0.188878474,0
0,4,0,0,66.071,0,1,1,0.196501036,0.017273545,0
3,141.3333333,2.666666667,18354.88889,221588.4947,1914067896,0,4,0.152100824,0.06911929,0
1.333333333,6.333333333,0.222222222,6.888888889,171000.84,138123.4246,0,4,0.250021246,0.18717452,0
1,55.75,1.5,4143.1875,96617.81375,9563897876,0,2,0.185000731,0.034160032,0
0,4,0,0,77.68475,1.017613188,4,4,0.154100221,0.143672141,0
5,3,0,0,238082.329,0,4,1,1.079355848,2.683818468,0
1,60.5,0,2862.25,170580.1675,4355.40602,0,2,2.000737558,4.001986949,0
2,5.5,0,0.25,240221.3355,3581.244492,0,2,0.499829083,0.249561893,0
0,0,0,0,0,0,1,0,0.630802309,0,0
1.5,79,0.25,1225,231073.241,3414945731,2,2,0.092394433,0.007836866,0
4,184.5,9,32220.25,171994.9955,965397.6247,0,4,0.250210325,0.187372722,0
2.5,10.5,2.25,30.25,237189.0405,4418583618,2,0,0.303942784,0.090841827,0
2,4,0,0,171031.671,0,2,1,0.130477815,0.007724053,0
5,545,9,292681,181408.1115,104593543.7,0,2,2.000317581,4.00017108,0
0,0,0,0,0,0,1,0,2.555090991,0,0
0,0,0,0,4.598,0,2,1,0.706860576,0.406055431,0
0,2,0,0,59.365,0,5,1,0.775963958,2.46016497,0
0,4,0,0,73.363,0,7,1,0.13100395,0.038516705,0
0,1.333333333,0,0.888888889,60.66666667,135.9157642,14,3,0.043312184,0.004256606,0
0,0,0,0,0.0215,9.03E-05,0,2,0.128876382,0.016557446,0
0,2.5,0,0.25,51.1725,8.90127225,3,2,0.14109086,0.028978163,0
0.5,2.5,0.25,6.25,5821.769,4360.621225,0,2,2.125299276,4.516478621,0
0,0,0,0,0,0,1,0,5.623149494,0,0
2,24,0,0,655.7,0,2,1,0.218251639,0.033084374,0
3,5,8,14,230003.942,26400953842,29,3,0.067268278,0.041965866,0
0,0,0,0,2.2042,8.899235493,5,4,0.065223782,0.005469209,0
0.1,6.1,0.09,334.89,62.707,29350.02006,2,2,87.20537382,22762.74624,0
0,0,0,0,0,0,2,0,0.636078094,2.70E-10,0
0,0,0,0,24.1915,45.15910558,7,6,0.122342859,0.171160485,0
0,0,0,0,5609.702,10.666756,5,6,0.100866055,0.094907567,0
0,0,0,0,1622.271643,6548158.873,1,3,0.324027654,0.158514309,0
0,1.5,0,2.25,1404.73175,1930997.135,8,8,0.033990606,0.005341648,0
0,0,0,0,29.7614,0.00889144,1,0,1.090763124,0,0
1.333333333,13,0.222222222,264.6666667,60970.92933,6060053296,0,3,2.073178799,7.422267873,0
0,3,0,0,5079.0235,0.00050625,0,4,0.194019124,0.112810669,0
0,3,0,0,5085.6755,58.94400625,0,1,2.000634046,0,0
1,13,0,0,171405.548,0,0,1,3.001138486,0,0
1,7,0,0,171589.511,0,0,1,4.001131578,0,0
1,1603,0,0,172983.162,0,0,1,3.00058872,0,0
0.333333333,136.3333333,0.222222222,37173.55556,57058.695,6511383530,0,2,7.557252315,57.10549483,0
0,0,0,0,65142.444,0,0,1,15.67158478,0,0
1,5,0,0,60296.282,0,0,1,7.162330575,0,0
1,45,0,0,60161.188,0,0,1,0.144980426,0,0
3,4,0,0,61970.966,0,0,1,1.543094711,0,0
65,5,0,0,62732.266,0,0,1,0.852250115,0,0
0,0,0,0,0.0905,0.00585225,0,2,2.315273959,5.359298726,0
0,0,0,0,274.5,0,1,1,5.391778464,26.19596956,0
0,0,0,0,116033.581,51.022449,0,2,1.049049819,1.100331588,0
1,2,0,0,115358.531,0,0,2,4.000483156,16.00216072,0
1,7,0,0,115195.346,0,0,1,1.00018486,0,0
5,1686,0,0,116212.358,0,0,1,3.000959214,0,0
2,157.6666667,8,49717.55556,39785.758,3165809260,0,2,2.559964191,6.552082794,0
1.333333333,2.666666667,1.555555556,6.222222222,117446.744,7150953.844,0,3,1.960276397,7.684789138,0
2.1,12.5,1.49,98.65,115738.1359,2458.967088,0,18,0.722359368,8.86777142,0
2.111111111,13.11111111,1.209876543,107.8765432,115756.3294,35493.35008,0,3,2.666285508,14.21604574,0
1,40,0,1369,227011.482,12231971133,0,1,3.000490965,0,0
0.333333333,1.666666667,0.222222222,5.555555556,57178.863,6538839144,0,2,0.060462431,0.003612938,0
7,1635,0,0,179429.547,0,0,1,4.879819719,0,0
0,0,0,0,0,0,1,0,0.966859216,0,0
1,3,0,0,171103.8635,59.28230025,0,2,1.016835562,1.033456492,0
1,1,0,0,170330.268,0,1,1,3.000297459,4.480457518,0
3,222,0,0,176170.113,0,0,1,6.000778346,0,0
31,257,0,0,197655.996,0,0,1,3.000787732,0,0
1,0,0,0,170845.251,0,0,1,0.999865254,0,0
1,33,0,324,171004.1045,611.1031203,0,2,1.000552897,1.000173856,0
0,0,0,0,0.0235,9.03E-05,0,2,2.060276384,4.243430186,0
9,307.6666667,128,183214.2222,273424.2473,21230954908,0,8,0.110134847,0.084638449,0
20.85714286,339.1428571,3618.122449,252877.6939,259142.2386,18537867417,0,12,0.083471476,0.076166248,0
1.333333333,3.333333333,0.222222222,0.888888889,273918.1173,21190135590,0,1,0.997229054,0,0
7,4,0,0,171563.053,0,0,2,5.500419815,30.25264192,0
2.5,26,0.25,441,171557.5,48.762289,0,1,0.999745571,0,0
6,81,0,0,515611.224,0,0,1,4.00039534,0,0
2.666666667,8,14.22222222,128,65472.81633,8573373334,0,2,5.561504267,30.92861263,0
0,0,0,0,0.0235,4.22E-05,0,2,15.00188364,225.0388549,0
0,0,0,0,0.029,0.000121,0,2,15.00189322,225.0396325,0
47,1358,0,0,473484.397,0,0,1,23.86983058,0,0
0,0,0,0,0.0245,7.23E-05,0,2,3.066979798,9.404664938,0
0,0,0,0,0.994,0,0,0,0,0,0
0,0,0,0,0,0,1,0,11.87342377,0,0
1,1033,0,0,171099.556,0,0,1,15.05256357,0,0
0.333333333,88.66666667,0.222222222,15723.55556,57060.92867,6511893340,0,3,1.025990969,1.950068181,0
0,0,0,0,0.027,4.00E-06,1,2,10.00240219,80.78390543,0
0,0,0,0,0.0265,0.00011025,0,2,15.00331699,225.081297,0
0,0,0,0,272.374,0,1,1,5.372587709,26.02227461,0
0,0,0,0,0.0305,1.23E-05,0,2,9.630274884,92.73329142,0
0,0,0,0,0.023,6.40E-05,0,2,15.00243516,225.0577517,0
0,0,0,0,0.0235,9.03E-05,0,2,15.00213923,225.051372,0
0,0,0,0,0.026,0.000121,0,2,15.00224405,225.0510424,0
1,0,0,0,170303.114,0,0,1,12.06528946,0,0
0,0,0,0,0.024,6.40E-05,0,2,8.969556737,80.44455534,0
0,0,0,0,0.022,3.60E-05,0,2,15.00215911,225.0504038,0
1,6,0,0,281230.454,0,0,1,23.05684882,0,0
0,0,0,0,0.024,6.40E-05,0,2,3.473789747,12.06399052,0
0,0,0,0,0.0265,0.00013225,0,2,15.00242857,225.0571555,0
0,0,0,0,0.024,6.40E-05,0,2,15.00220464,225.0531578,0
0,0,0,0,0.084,0.004489,0,2,15.00245193,225.0587923,0
0,0,0,0,273.368,0,1,1,5.365143945,25.9359229,0
0,0,0,0,0.025,6.40E-05,1,2,6.424802112,21.74472755,0
1,0,0,0,4.135,0,1,1,1.276534164,1.619394196,0
